Milk,Onion,Nutmeg,Kidney Beans,Eggs,Yogurt
Dill,Onion,Nutmeg,Kidney Beans,Eggs,Yogurt
Milk,Apple,Kidney Beans,Eggs,,
Milk,Unicorn,Corn,Kidney Beans,Yogurt,
Corn,Onion,Onion,Kidney Beans,Ice cream,Eggs
Milk,Eggs,Bread,Onion,,
Milk,Eggs,Bread,,,
Milk,Eggs,Bread,Onion,,
Milk,Eggs,Bread,Chili,Oil,
Milk,Bread,Oil,,,
Milk,Coca,Nutritional cereals,,,
Ice cream,Coca,Snack,Yogurt,,
Ice cream,Yogurt,,,,
Apple,Pear,Banana,,,
Banana,Eggs,Milk,Apple,,
Apple,Banana,Onion,Oil,,
Apple,Banana,,,,
Apple,Eggs,,,,
Coca,Snack,Yogurt,,,
Coca,Milk,Snack,Yogurt,,
Coca,Corn,Yogurt,,,
